,Covidence #,Study ID,Title,Reviewer Name,Study ID (from Covidence),Paper Title,Authors ,Year Published,Journal (or publication) Title,Literature Type,Basin in which the article is focused?,What is the stated objective and/or purpose of the study/paper?,What is the stated hypothesis or research question of the study/paper?,Is the paper/study more applied (management focused) or more empirical/theoretical/disciplinary-oriented (basic science)?,What is the primary discipline of the study?,What are the methods used in this study (copy/paste)?,What is the data source(s) used in this study? ,Dates that the study took place? (if relevant),Does the paper talk meaningfully about indigenous worldviews?,What type of knowledge does the study/paper use?,"Is the paper meaningfully interdisciplinary between social and natural sciences (methods, discussion, etc.)?","If yes, please describe.",What species are discussed in the paper?,What type of hatchery/cultivation/stocking program does the paper discuss?,"Does the paper state the objective of the cultivation/hatcheries/stocking it discusses, and if so what is it?","If so, state the objective of the cultivation/hatcheries/stocking.",What type of aquatic system does the hatchery/cultivation/stocking effort use?,How many generations are the brood stock held in the hatchery as stated in the paper?,"If known, indicate the discrete number of generations.",At what life stage are fish released?,"If stated, specify age of release?","If released as fry, what stage of feeding at release?","If feed is used in the study, does the paper indicate the type/brand/origin of the feed?","If yes, please state.",Does the paper state any conclusion about the efficacy of the hatchery/stocking/cultivation program?,"If yes, state conclusion here.","Does the paper have a stated definition of ""wild"" salmon as relevant to the hatchery discussion?","If yes, copy-paste definition/description here:",Do the results suggest one or more hatchery and/or stocking standard(s) or practice(s) for conserving salmonids?,"If so, what is it/are they? ",Do the authors identify a gap/gaps in scientific knowledge of hatchery and/or stocking standard(s) or practice(s)?,"If so, what is it/are they? ","Does the paper state a specific management recommendation? If so, what is it?",What is the key message/finding of the paper?,What are the key themes of the paper?,Does the paper meaningfully and/or explicitly discuss its findings in the context of climate change?,Does this paper meaningfully address one of the key research question topics?,Full authors
0.083627951,5300,McConnell 2019,Is blood cortisol or vateritic otolith composition associated with natal dispersal or reproductive performance on the spawning grounds of straying and homing hatchery-produced chum salmon (Oncorhynchus keta) in Southeast Alaska?,Consensus,5300,Is blood cortisol or vateritic otolith composition associated with natal dispersal or reproductive performance on the spawning grounds of straying and homing hatchery-produced chum salmon (Oncorhynchus keta) in Southeast Alaska?,McConnell et al.,2019,Biology Open,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Pacific,"We explored how stress imparted at the beginning and end of the chum salmon life cycle might disrupt physiological development, migratory behavior and influence reproductive performance on the spawning grounds.","To the extent that stress may influence homing and straying, we expected that (1) hatchery-produced strays would have higher cortisol concentrations compared to either naturally-produced or hatchery-produced chum salmon that homed successfully, (2) individuals with higher cortisol concentrations would have shorter instream lifespans and display higher rates of egg retention than individuals with lower cortisol concentrations, (3) frequency of vaterite occurrence would increase across a gradient of potential stress as thermal mark intensity and complexity increases, and (4) that hatchery-produced strays would have higher frequency of vaterite occurrence compared to hatchery-produced fish that homed successfully.",More empirical/basic science,"Biology/ecology (prey/feeding, migrations, interactions/competition, predation, etc.)","Through paired comparisons between wild fish born in nature that were presumed to have homed to natal areas, hatchery-produced fish that were known to have strayed onto wild spawning grounds, and hatchery-produced fish that returned home successfully, we quantified blood plasma cortisol concentrations and its association with two traits associated with reproductive success: instream lifespan and egg retention. Additionally, we compared the frequency of vateritic otolith crystallization between straying and homing salmon to determine if thermal fluctuations experienced during early development in captivity is correlated with straying later in life. ",Empirical data,collection years 2014-2016,No,Western science,No,,Chum/Dog/Keta (Oncorhynchus keta),Purpose not stated,No,,Not clearly stated/defined,Not stated,,Not stated,,,Feed use not mentioned,,Irrelevant to study,,No,,No,,Yes,Does accelerated growth in hatchery-produced fish play a role in the rate of vateritic otoliths.,Straying may not be directly affected by stress as measured by proxies of vaterite or cortisol concentrations and thus management or hatchery practices designed to lower stress with the goal of reducing straying are unlikely to have an effect. ,"Two proxies for stress, Blood plasma cortisol at the terminus of their migration, and percent frequency of vateritic otolith development within groups during development, were not associated with straying. Rates of vaterite occurred less frequently in wild chum salmon. Mass thermal marking of juvenile fish in hatcheries is unlikely to increase vateritic development as neither intensity (number of temperature changes) or complexity (number of temperature change sequences) of the mark. Cortisol concentrations were associated with shorter instream lifespan of both hatchery and wild individuals but did not appear to influence rates of egg retention in spawning females. Stress induced during the early stages of rearing in a hatchery environment from marking or other causes may not increase straying later in life.","physiology, stress, spawning, otolith, blood cortisol",No,Conserving wild populations; Supporting fisheries,"McConnell, Casey J.; Atkinson, Shannon; Oxman, Dion; Westley, Peter A. H."
0.084382893,5422,Chenoweth 2017,Humpback whales feed on hatchery-released juvenile salmon,Consensus,5422,Humpback whales feed on hatchery-released juvenile salmon,Chenoweth et al. ,2017,Royal Society Open Science,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Pacific,"The objectives of this study were to document juvenile salmon as prey for humpback whales in Southeast Alaska, model the main factors affecting the probability of sighting humpback whales at release sites and describe humpback whale foraging behaviours at these sites.",none stated,More management/applied,"Biology/ecology (prey/feeding, migrations, interactions/competition, predation, etc.); Management","We coordinated twice-daily 15 min observations during the spring release seasons 2010É??2015. Using logistic regression, we determined that the
probability of occurrence of humpback whales increased after releases began and decreased after releases concluded.",Empirical data,2010-2015 ,No,Western science,No,,King/Chinook (Oncorhynchus tshawytscha); Silver/Coho (Oncorhynchus kisutch); Pink/Humpy (Oncorhynchus gorbuscha); Chum/Dog/Keta (Oncorhynchus keta),Harvest/fisheries augmentation,Yes, augment low wild stock catches and abundance.,Other: fertilization and rearing in captivity followed by growth in net pens for 6-18 months,Not stated,,Not stated,,Other: not stated,Feed use not mentioned,,"Other: They highlight that predation by whales may be a concern for local economies, indicating hatchery is somewhat successful",,No,,Yes,"During this study, hatchery staff noted many strategies for mitigating
predation, primarily aimed at reducing the density of salmon aggregations at the releases site. One of the most widespread methods was to release fish slowly over time, a strategy known as a É??trickleÉ?? release as opposed to a more traditional É??massÉ?? release. Staff also tried releasing fish at night, on an outgoing tide, or in a less sheltered location. The most intensive strategy employed by NSRAA was to release salmon at a larger size so that they will move from the littoral habitat more quickly. A longitudinal study in space and time will be necessary to isolate the effects of these strategies on marine survival",Yes,The interaction between humpback whales and an anthropogenically derived food source bears further investigation as both a novel predatorÉ??prey interaction and for the potential economic impact. Future studies will directly test whether high humpback whale predation on a salmon cohort at the point of release is related to poor marine survival of released salmon and assess the economic impacts of that predation to local fisheries.,no," Using logistic regression, we determined that the probability of occurrence of humpback whales increased after releases began and decreased after releases concluded. The probability of whale occurrence varied among release sites but did not increase significantly over the 6 year study period. Whales were reported to be feeding on juvenile chum, Chinook and coho salmon, with photographic and video records of whales feeding on coho salmon. The ability (of humpback whales ) to adapt to new prey sources may be key to sustaining their population in a changing ocean.","marine mammalÉ??fishery interactions, aquaculture release",No,Supporting fisheries,"Chenoweth, Ellen M.; Straley, Janice M.; McPhee, Megan V.; Atkinson, Shannon; Reifenstuhl, Steve"
0.084948216,5077,Brunsdon 2017,Dispersal and density-dependent growth of Atlantic salmon (Salmo salar) juveniles: clumped versus dispersed stocking,Consensus,5077,Dispersal and density-dependent growth of Atlantic salmon  (Salmo salar) juveniles: clumped versus dispersed stocking,Brunsdon et al. ,2017,Canadian Journal of Fisheries and Aquatic Sciences,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Atlantic,None,"We tested the general hypothesis that stocking treatment affects the density, growth and survival of YOY Atlantic salmon, while also accounting for other fish species and water temperature. We tested the following specific predictions: 
1) spatial variation in density will be higher in clumped- than in dispersed-stocking reaches;
 2) densities in clumped reaches will decrease with distance downstream, 
whereas densities in dispersed reaches will remain constant; 
3) YOY growth rate, as estimated by mass at the end of the summer, will increase with distance downstream in clumped reaches, but not in dispersed reaches;
 4) YOY mass will decrease as a negative power curve in relation to density;
 5) YOY survival will be higher in dispersed reaches. ",More management/applied,"Biology/ecology (prey/feeding, migrations, interactions/competition, predation, etc.); Rearing practices/technology; Stock analysis (assessment, growth, recruitment, survival, harvest, contributions from wild and hatchery, etc.)","In this study, we manipulated the density of hatchery-origin YOY Atlantic salmon in a landlocked population from Lake Champlain, by stocking known numbers of individuals into 14 separate reaches of the Boquet River, New York, USA, using either a clumped or dispersed treatment",Empirical data,,No,Western science,No,,Atlantic Salmon (Salmo salar),Restoration stocking; Scientific stocking,Yes,Atlantic salmon have been stocked into the Boquet River and Lake Champlain in an effort to rebuild the population,"Mentions stocking only, system not specified",Paper state that mixed discrete/multiple generations and new brood stock are used,3+,Fry,,Unfed fry,No,,Irrelevant to study,,No,,No,,No,,"In the absence of detailed knowledge of reproductive and juvenile habitats, we suggest that an ideal method for stocking juvenile salmonids would be a combination of both clumped- and dispersed-stocking treatments. Stocking 2000-3000 fish at locations 400-m apart throughout a river will allow for a relatively even distribution of densities throughout the reach, with dispersal seeding the habitat in between each clumped-stocking. Furthermore, the stocking of 2000-3000 YOY at one location mimics the dispersal and competition that occurs in nature","Using YOY Atlantic salmon as a model species, we found that clumped stocking resulted in a decrease in density and an increase in mass with increasing distance from the release point, whereas dispersed stocking maintained relatively even densities and masses within the reach. However, overall YOY density, spatial variance in density, mass and survival index did not differ between stocking treatments, most likely due to the unexpected mobility of YOY in clumped-stocking reaches. Furthermore, density and mass of released YOY were also influenced by distance from release points and 
placement (upstream vs. downstream), depending on which stocking treatment was used. These results have important implications for restoration and supplementation programs involving large-scale releases of fishes","Dispersal, density-dependent, restoration",No,Does not address research topics,"Brunsdon, Eric Blake; Fraser, Dylan John; Ardren, William Rundle; Grant, James William Angus"
0.087771505,5404,Ford 2015,Using parentage analysis to estimate rates of straying and homing in Chinook salmon (Oncorhynchus tshawytscha),Consensus,5404,Using parentage analysis to estimate rates of straying and homing in Chinook salmon (Oncorhynchus tshawytscha),Ford et al.,2015,Molecular Ecology,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Pacific,"Release of artificially propagated organisms is common, so understanding how artificial propagation influences dispersal or homing behaviour is an important problem for a variety of taxa.","Here, we use parentage analysis to estimate rates of straying of Chinook salmon (Oncorhynchus tshawytscha) among several spawning tributaries in order to answer the following questions: (i) Do rates of straying and homing differ between hatchery and natural-origin salmon? (ii) For natural-origin salmon, how do factors such as parental origin, sex, age or spawning location influence the probability of straying and homing?",More empirical/basic science,"Genetic/evolutionary ecology (life history strategies, phenotype/genotype; phenology, restoration ecology)",Genetic parentage analysis,Empirical data,2004-2010,No,Western science,No,,King/Chinook (Oncorhynchus tshawytscha),Conservation stocking; Restoration stocking,Yes,Hatchery supplementation using broodstock captured within the watershed has been used to increase abundance.,Freshwater (system not specified),Paper state that mixed discrete/multiple generations and new brood stock are used,,Smolt,,,Feed use not mentioned,,Yes,"The current Chiwawa River hatchery programme [that uses offsite hatchery rearing], for example, appears to be leading to much higher than natural rates of straying of hatchery-origin fish from the Chiwawa River into Nason Creek.",No,,Yes,"Allow fish to have complete imprinting to reduce risk of increased straying, including on-site rearing; better habitat quality increases reproductive success of reintroductions",Yes,"The key piece of information distinguishing these alternatives (whether straying is good or bad for natural populations) is the degree of local selection pressure, so studying the degree to which selection pressures differ among and within tributaries is a high
priority for designing effective management strategies for supplementation.",Modifications to the programme to reduce straying [on-site rearing] might therefore be important for restoring more natural patterns of dispersal within the Wenatchee Basin.,"Artificially propagated fish can stray at higher rates than natural-origin fish, due to reasons that include incomplete imprinting from off-site rearing and others; natural-origin progeny hatchery fish stray at higher rates than wild-origin fish, which may be due to epigenetic changes; success of reintroduction can be limited by habitat.",reintroduction; habitat suitability; straying; imprinting; population differences,No,Conserving wild populations,"Ford, Michael J.; Murdoch, Andrew; Hughes, Michael"
0.095466894,5214,VanDoornik 2013,Genetic Monitoring of Threatened Chinook Salmon Populations: Estimating Introgression of Nonnative Hatchery Stocks and Temporal Genetic Changes,Consensus,5214,Genetic Monitoring of Threatened Chinook Salmon Populations: Estimating Introgression of Nonnative Hatchery Stocks and Temporal Genetic Changes,Van Doornik et al.,2013,North American Journal of Fisheries Management ,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Pacific,"(1) to estimate the amount of introgression that has occurred from nonnative hatchery stocks into the native populations and
(2) to determine the extent of any genetic changes in these populations over the past 20É??50 years","Hatchery-reared steelhead from the Carson and Rapid River Hatcheries have significantly introgressed into the native populations of the Grande Ronde basin, leading to detectable genetic changes in these populations over the past 20É??50 years.",More empirical/basic science,"Genetic/evolutionary ecology (life history strategies, phenotype/genotype; phenology, restoration ecology)",We used genetic monitoring techniques to estimate the amount of introgression that has occurred from nonnative hatchery stocks into native populations and to determine the extent of genetic changes that have occurred in association with supplementation efforts over the past 20É??50 years in Snake River Chinook Salmon O. tshawytscha populations from northeastern Oregon.,Empirical data,1959-2008,No,Western science,No,,King/Chinook (Oncorhynchus tshawytscha),Restoration stocking,Yes,"Hatchery programs in the Snake River, a tributary of the Columbia River, began in the 1960s, with the goal of using artificial propagation to mitigate salmon losses associated with the construction of four lower Snake River dams (Carmichael and
Messmer 1995). The primary goal of these programs was to increase the number of returning adult fish rather than to restore the natural population",Irrelevant to study,Paper state that mixed discrete/multiple generations and new brood stock are used,13-Apr,Not stated,,,Feed use not mentioned,,Yes,"Our results indicate that the supplementation programs implemented for Grande Ronde and Imnaha River basin Chinook Salmon populations have not caused any detectable, widespread
changes in genetic diversity within populations or among supplementation history groups for the populations analyzed.",No,,No,,No,,"Whatever
the reason, continued genetic monitoring of these populations
will be important to assure that the genetic diversity of these populations is maintained.

","All seven of the native populations sampled have maintained their levels of within-population
genetic diversity throughout the sampling period. Overall, this regionÉ??s supplementation efforts appear to have had a minimal effect on the genetic diversity of its Chinook Salmon populations.","supplementation, genetic diversity, introgression",No,Conserving wild populations,"Van Doornik, Donald M.; Eddy, Debra L.; Waples, Robin S.; Boe, Stephen J.; Hoffnagle, Timothy L.; Berntson, Ewann A.; Moran, Paul"
0.100279522,5316,Falcy 2018,Detecting the effects of management regime shifts in dynamic environments using multi-population state-space models,Consensus,5316,"Detecting the effects of management regime shifts in dynamic environments
using multi-population state-space models",Falcy et al,2018,Biological Conservation,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Pacific,"The objective was to assess change in the freshwater production of coho salmon
juveniles (smolts) through time in order to determine if recent increases in adult abundance could be related to
management affecting the freshwater juvenile production.","The hypotheses were (i) that if ocean conditions, not management, are responsible for changes in adult abundance, then we expect to find no change in smolt recruitment across two periods roughly corresponding to pre- and post-biological conservation management. In contrast, if management actions have meaningfully improved smolt recruitment, then this should be detectable in the abundance time-series data after controlling for changing ocean conditions and changing proportions of hatchery-origin spawners, which may exhibit lower reproductive success than natural-origin fish.",Both (study has strong elements of both),"Biology/ecology (prey/feeding, migrations, interactions/competition, predation, etc.); Management","Spawner-to-smolt relationships were modeled with Bayesian hierarchical
state-space implementations of the logistic hockey stick recruitment function. A method was developed for estimating the relative reproductive success of hatchery spawners.",Empirical data,1970 to 2015,No,Western science,No,,Silver/Coho (Oncorhynchus kisutch),Purpose not stated,No,,Not clearly stated/defined,Not stated,,Not stated,,,Feed use not mentioned,,No,,No,,No,,No,,carefully tailored models of non-stationary population dynamics are needed to understand and the effectiveness of management actions intended to recover populations,"The paper found more evidence for decline than increase in productivity in the spawner-to-smolt life stage, suggesting that changes in physical oceanographic conditions are responsible for recent increases in adult abundance. The reproductive success of hatchery-origin fish relative to natural-origin fish was 0.51. While some management effects may unfold on longer time-scales than observed, the authors contend that carefully tailored models of non-stationary population dynamics are needed to understand and the effectiveness of management actions intended to recover populations.","management, reproductive success, regime shifts",Yes,Conserving wild populations; Supporting fisheries,"Falcy, Matthew R.; Suring, Erik"
0.102140137,5392,Morita 2015,River temperature drives salmon survivorship: is it determined prior to ocean entry?,Consensus,5392,"River temperature drives salmon survivorship:
is it determined prior to ocean entry?",Morita et al.,2014,Royal Society Open Science,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Pacific,"Here, we asked whether the brief freshwater life-history stage during the seaward migration is
important to determine hatchery-reared chum salmon (Oncorhynchus keta) survivorship, which migrate to sea 10É??30 days after release [8,9] and spend 3É??6 years at sea.","Because temperature is one of the most
important environmental factors affecting physiological processes in ectotherms, we hypothesized that river temperatures during out-migration would affect salmon fry survival. ",More empirical/basic science,"Biology/ecology (prey/feeding, migrations, interactions/competition, predation, etc.)","Chum salmon fry, marked with thermally induced otolith marks, are released annually from the Chitose Field Station (CFS) in Japan. Returning adults are captured at a weir downstream, sampled to determine age and origin, and used to calculate fry-to-adult survival rates. Fry abundance is monitored daily at the Chitose Salmon Aquarium (CSA) using in-river observation windows. Daily river temperatures and discharge data are recorded to analyze their impact on salmon survivorship.",Empirical data,,No,Western science,No,,Chum/Dog/Keta (Oncorhynchus keta),Purpose not stated,No,,Irrelevant to study,Not stated,,Fry,,,Feed use not mentioned,,Yes,"Moreover, downstream out-migration of hatchery fish occurs about one month earlier than that
of wild fish in the river we studied [21]. Therefore, hatchery fish may be more vulnerable to the impact of low river temperature during the seaward migration early in spring. ",No,,Yes,"However, there are other considerations involved in the decisions to release, such as hatchery capacity limitations (i.e. keeping a large number of growing fry in good health is difficult) and the agricultural use of river water after the growing season (i.e. salmon fry might stray into agricultural water).
",No,,No,"After the annual release of a constant number of fry, the number of fry moving through the river at a downstream location varied greatly. The number of returning adults was positively correlated with the number of fry moving downstream. This result suggests that most salmon mortality occurred prior to ocean entry, and that short-term mortality in the river is a key factor determining major fluctuations in total mortality","population dynamics, mortality, river temperature",Yes,Other: migration survival,"Morita, Kentaro; Ayumi, Nakashima; Kikuchi, Motohiro"
0.103830657,15159,Frost 2021,DensityÉ?êdependent effects of eastern Kamchatka pink salmon (<i>Oncorhynchus gorbuscha</i>) and Japanese chum salmon (<i>O. keta</i>) on ageÉ?êspecific growth of western Alaska chum salmon,Consensus,15159,Density-dependent effects of eastern Kamchatka pink salmon (Oncorhynchus gorbuscha) and Japanese chum salmon (O. keta) on age-specific growth of western Alaska chum salmon,Frost et al. ,2021,Fisheries Oceanography,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Pacific,"The two-pronged approach we took provided additional insight  into competition among salmon in the North Pacific. First, by treating the first year of growth of Kuskokwim River chum salmon as a ""counterfactual"" (i.e., little to no competition with Asian pink and chum salmon), we were better able to assess the possibility that spurious statistical associations between growth and Asian pink and chum salmon abundance indices arose from coinciding time series, which can confound inferences about causal effects of competition (e.g., Cunningham et al., 2018). Second, the sharp decline in Japanese hatchery chum salmon beginning with the 2011 earthquake provided a way to test for density dependence in the Bering Sea against a backdrop of limited contrast in hatchery releases of chum salmon over the previous three decades (NPAFC, 2020), which has hampered efforts to understand the competitive effects of hatchery chum salmon","First, we predicted that competition should manifest in reduced growth of Kuskokwim River chum salmon from the second year of growth at sea onwards, but not during the first year of growth at sea when these populations would have minimal overlap with Asian populations (Agler et al., 2013). Second, we examined growth of chum salmon in the Bering Sea in relation to reduced abundance of Japanese chum salmon associated with the Tèçhoku earthquake and tsunami of 2011. This disaster destroyed a number of hatcheries along the Pacific coast, reducing the numbers and subsequent survival of hatchery chum salmon released that spring (Watanabe et al., 2015). Hatchery chum salmon releases were re-duced in 2012 and 2013 as well (NPAFC, 2020). We hypothesized that this decrease in hatchery chum salmon production would result in increased growth of chum salmon in the Bering Sea during years 2012É??2016",More management/applied,"Biology/ecology (prey/feeding, migrations, interactions/competition, predation, etc.); Management; Stock analysis (assessment, growth, recruitment, survival, harvest, contributions from wild and hatchery, etc.)","We used retrospective analysis of scale growth to investigate  the relationship between growth of chum salmon, known to originate from the Kuskokwim River in western Alaska or to rear in the Bering Sea, and the abundance of Asian pink and chum salmon, specifically two major stocks: Japanese hatchery chum salmon, and pink  salmon from eastern Kamchatka. The correlation between scale radius and fish length allowed us to examine growth during defined periods of ocean residence (Yasumiishi et al., 2016) and therefore  make specific predictions about the effects of competition on 
growth patterns. ",Empirical data,"1963 and 1968É??2010, 2010-2016",No,Western science,No,,King/Chinook (Oncorhynchus tshawytscha); Pink/Humpy (Oncorhynchus gorbuscha); Chum/Dog/Keta (Oncorhynchus keta); Red/Sockeye (Oncorhynchus nerka),Purpose not stated,No,,"Mentions stocking only, system not specified",Not stated,,Not stated,,,Feed use not mentioned,,Yes,"Based on hypothesized competitive effects of wild Kamchatka populations of pink salmon and chum salmon released by Japanese hatcheries, we expected reduced growth of western Alaska chum salmon after their first year at sea during periods of high abundance of these Asian salmon stocks. We found strong support that chum salmon returning to the Kuskokwim River compete with Japanese chum salmon, as evidenced by the negative correlation between the size of hatchery releases and marine growth ",Yes,"Analyses focused on interactions in the Bering Sea between western Alaska chum salmon and the dominant stocks of pink and chum salmon during the study period: Japanese chum salmon, assumed to be entirely of hatchery origin, and eastern Kamchatka pink salmon primarily of wild origin",Yes,"Despite the limited focus, our study adds to the cumulative evidence indicating that Pacific salmon can experience density dependence in the North Pacific and Bering Sea ecosystems, suggesting that hatchery production cannot continue to increase without some detrimental consequences for wild salmon populations.",No,,hatchery production cannot continue to increase without some detrimental  consequences for wild salmon populations.,"Our results support previous evidence that chum salmon are affected by intraspecific competition, and to a lesser extent interspecific competition, in the North Pacific, underscoring that the effects of salmon hatchery production transcend national boundaries.","density-dependence, pacific rim stocking, competition",No,Does not address research topics,"Frost, Tessa J; Yasumiishi, Ellen M; Agler, Beverly A; Adkison, Milo D; McPhee, Megan V"
0.109692074,5379,Kock 2018,Responses of Hatchery- and Natural-Origin Adult Spring Chinook Salmon to a Trap-and-Haul Reintroduction Program,Consensus,5379,Responses of Hatchery- and Natural-Origin Adult Spring Chinook Salmon to a Trap-and-Haul Reintroduction Program,Kock et al.,2018,North American Journal of Fisheries Management,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Pacific,Our primary objectives were to (1) determine whether HOR and NOR Chinook Salmon responded differently to the trap-and-haul program; (2) determine whether release location affected the proportion of Chinook Salmon present in spawning tributaries during the spawning period; and (3) quantify the effects of covariates on fish behavior and fates.,"[The trap and haul] approach involves risk because transported fish experience handling-related stress and are abruptly removed from and then reinserted into their migratory pathway. Adult salmon rely on chemical and olfactory cues as they migrate upstream and select routes to return to their spawning grounds. The trap-and-haul experience disrupts this process, and fish may be released into unfamiliar areas, potentially affecting their ability to locate natal spawning grounds. Furthermore, the trap-and-haul experience can be stressful, and mortality rates have been shown to be high after release. The use of HOR fish is associated with an increased risk of reducing reproductive success in the outplanted population.",More empirical/basic science,"Biology/ecology (prey/feeding, migrations, interactions/competition, predation, etc.); Stock analysis (assessment, growth, recruitment, survival, harvest, contributions from wild and hatchery, etc.)","A 4-year radiotelemetry study to evaluate behavior and movement patterns of hatchery- and natural-origin adult spring Chinook Salmon O. tshawytscha after a trap-and-haul program was implemented around three dams on the Cowlitz River, Washington. A multistate model was used to describe how factors such as origin, sex, release site location, and discharge affected transition rates to riverine areas where spawning habitat was located.",Empirical data,2005É??2007 and 2012,No,Western science,No,,King/Chinook (Oncorhynchus tshawytscha),Restoration stocking; Reintroduction stocking; Mitigation/mandated stocking (offsetting),Yes,"Reintroduction efforts have been implemented to re-establish salmon populations in areas blocked by dams. Managers have chosen not to remove dams in many watersheds, so reintroduction efforts often include the development of techniques for moving fish around dams and reservoirs.",Irrelevant to study,Paper states a number of discrete generations,Hatchery-origin Chinook Salmon in the Cowlitz River originated from NOR broodstock that were captured in the 1960s as impassable dams were constructed. This population has been maintained in the Cowlitz Salmon Hatchery since that time (2012-1960 = 52 years).,Adult,,,Feed use not mentioned,,No,,No,,Yes,Spawning distributions of adult hatchery origin fish can be manipulated by the selection of release site.,No,,The development of acclimation sites (for juveniles) and release sites (for adults) could serve as a management tool to influence where HOR Chinook Salmon spawn within a given watershed.,"Spawning success of trap-and-haul hatchery origin salmon was lower than for that of natural origin salmon, which was related to upstream hatchery-origin fish's migration behavior (i.e., transition to riverine spawning habitat), which related to and influenced by release site location, day of year, and water discharge.","trap-and-haul, spawning success, reintroduction, migration behavior",No,Conserving wild populations,"Kock, Tobias J.; Perry, Russell W.; Pope, Adam C.; Serl, John D.; Kohn, Mike; Liedtke, Theresa L."
0.109963422,5736,Winans 2017,"Genetic Characterization of Oncorhynchus mykiss Prior to Dam Removal with Implications for Recolonization of the Elwha River Watershed, Washington",Consensus,5736,"Genetic Characterization of Oncorhynchus mykiss Prior to Dam Removal with Implications for Recolonization of the Elwha River Watershed, Washington",Winans et al,2017,Transactions of the American Fisheries Society,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Pacific,"The goal was to establish a genetic baseline was to characterize the genetic structure on a fine spatial scale within the Elwha River basin among collections of resident Rainbow Trout and steelhead above and below dams, based on 13 microsatellite (mSAT) characters",none stated,More empirical/basic science,"Genetic/evolutionary ecology (life history strategies, phenotype/genotype; phenology, restoration ecology)",genetic analyses using microsatellites,Empirical data,"sampling of resident trout 2004-2007, sampling steelhead 2005 to 2011",No,Western science,No,,Steelhead/Anadromous Rainbow Trout (Oncorhynchus mykiss),Purpose not stated,No,,"Mentions stocking only, system not specified",Not stated,,Not stated,,,Feed use not mentioned,,No,,Yes,only in as much as they are not hatchery fish (a common inference),No,,No,,none stated,"Stocking is not the main point of the paper, but the main finding regarding stocking is that a STRUCTURE analysis of all fish resulted in a solution of K = 2 where hatchery Rainbow Trout contrasted with all other collections, indicating that a portion of the middle-river resident Rainbow Trout have ancestral values of hatchery Rainbow Trout at less than 20%. The authors suggest that the very low level of hatchery contribution detected in their middle-river collections could be indicative of past hatchery introgression or could simply represent random assignment.","genetics, isolation, ",No,Does not address research topics,"Winans, Gary A.; Baker, Jon; McHenry, Mike; Ward, Larry; Myers, Jim"
